,Unnamed: 0.1,Unnamed: 0,index,basin_code,min,max,finished
0,0,0,0,ARAL,1,100,1
1,1,1,1,ARAL,101,200,1
2,2,2,2,ARAL,201,300,1
3,3,3,3,ARAL,301,400,1
4,4,4,4,ARAL,401,500,1
5,5,5,5,ARAL,501,600,1
6,6,6,6,ARAL,601,700,1
7,7,7,7,ARAL,701,800,1
8,8,8,8,ARAL,801,900,1
9,9,9,9,ARAL,901,1000,1
10,10,10,10,ARAL,1001,1100,1
11,11,11,11,ARAL,1101,1200,1
12,12,12,12,ARAL,1201,1300,1
13,13,13,13,ARAL,1301,1400,1
14,14,14,14,ARAL,1401,1500,1
15,15,15,15,ARAL,1501,1600,1
16,16,16,16,ARAL,1601,1700,1
17,17,17,17,ARAL,1701,1800,1
18,18,18,18,ARAL,1801,1900,1
19,19,19,19,ARAL,1901,2000,1
20,20,20,20,ARAL,2001,2100,1
21,21,21,21,ARAL,2101,2200,1
22,22,22,22,ARAL,2201,2300,1
23,23,23,23,ARAL,2301,2400,1
24,24,24,24,ARAL,2401,2500,1
25,25,25,25,ARAL,2501,2600,1
26,26,26,26,ARAL,2601,2700,0
27,27,27,27,ARAL,2701,2800,0
28,28,28,28,ARAL,2801,2900,0
29,29,29,29,ARAL,2901,3000,0
30,30,30,30,ARAL,3001,3100,0
31,31,31,31,ARAL,3101,3200,0
32,32,32,32,ARAL,3201,3300,0
33,33,33,33,ARAL,3301,3400,0
34,34,34,34,ARAL,3401,3500,0
35,35,35,35,ARAL,3501,3600,0
36,36,36,36,ARAL,3601,3700,0
37,37,37,37,ARAL,3701,3800,0
38,38,38,38,ARAL,3801,3900,0
39,39,39,39,ARAL,3901,4000,0
40,40,40,40,ARAL,4001,4100,0
41,41,41,41,ARAL,4101,4200,0
42,42,42,42,ARAL,4201,4300,0
43,43,43,43,ARAL,4301,4400,0
44,44,44,44,ARAL,4401,4418,0
