index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
1,BAKR,Baker,06/30/2008,04/30/2010,,,,,
2,BAKR,Baker,05/01/2010,09/30/2011,,,,,
3,BAKR,Baker,10/01/2011,08/31/2012,,,,,
4,BAKR,Baker,09/01/2012,12/31/2012,,,,,
5,BAKR,Baker,01/01/2013,03/14/2013,,,,,
6,BAKR,Baker,03/15/2013,06/30/2013,,,,,
7,BAKR,Baker,07/01/2013,09/30/2013,,,,,
8,BAKR,Baker,10/01/2013,11/30/2013,,,,,
9,BAKR,Baker,12/01/2013,01/31/2014,,,,,
10,BAKR,Baker,02/01/2014,05/31/2014,,,,,
11,BAKR,Baker,06/01/2014,08/31/2014,,,,,
12,BAKR,Baker,09/01/2014,11/30/2014,,,,,
13,BAKR,Baker,12/01/2014,03/31/2015,,,,,
14,BAKR,Baker,04/01/2015,06/30/2015,,,,,
15,BAKR,Baker,07/01/2015,10/31/2015,,,,,
16,BAKR,Baker,11/01/2015,01/31/2016,,,,,
17,BAKR,Baker,02/01/2016,06/30/2016,,,,,
18,BAKR,Baker,07/01/2016,09/13/2016,,,,,
19,BAKR,Baker,09/14/2016,10/31/2016,,,,,
20,BAKR,Baker,11/01/2016,01/07/2017,,,,,
21,BAKR,Baker,01/08/2017,01/08/2017,,,1,,
22,BAKR,Baker,01/09/2017,03/31/2017,,,,,
23,BAKR,Baker,04/01/2017,07/31/2017,,,,,
24,BAKR,Baker,08/01/2017,10/31/2017,,,,,
25,BAKR,Baker,11/01/2017,03/31/2018,,,,,
26,BAKR,Baker,04/01/2018,07/31/2018,,,,,
27,BAKR,Baker,08/01/2018,10/31/2018,,,,,
28,BAKR,Baker,11/01/2018,01/31/2019,,,,,
29,BAKR,Baker,02/01/2019,05/31/2019,,,,,
30,BAKR,Baker,06/01/2019,09/30/2019,,,,,
31,BAKR,Baker,10/01/2019,01/31/2020,,,,,
32,BAKR,Baker,02/01/2020,06/30/2020,,,,,
33,BAKR,Baker,07/01/2020,09/30/2020,,,,,
34,BAKR,Baker,10/01/2020,12/31/2020,,,,,
35,BAKR,Baker,01/01/2021,08/31/2021,,,,,
36,BAKR,Baker,09/01/2021,04/30/2022,,,,,
37,BAKR,Baker,05/01/2022,12/31/2022,,,,,
38,BAKR,Baker,01/01/2023,07/01/2023,,,,,
